Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55556786,The Personal Librarian,Marie Benedict,"Benedict, Marie",Victoria Christopher Murray,"=""0593101553""","=""9780593101551""",0,4.05,Berkley,Kindle Edition,347,2021,2021,,2021/08/31,to-read,to-read (#179),to-read,,,,0,0
13054604,The Secret History,Donna Tartt,"Tartt, Donna",,"=""""","=""""",4,4.15,Vintage,ebook,578,2011,1992,2021/08/25,2021/02/21,,,read,,,,1,0
775346,The Little Friend,Donna Tartt,"Tartt, Donna",,"=""1400031699""","=""9781400031696""",0,3.48,Vintage,Audible Audio,624,2003,2002,,2021/08/25,to-read,to-read (#177),to-read,,,,0,0
45163258,Such a Fun Age,Kiley Reid,"Reid, Kiley",,"=""0525541926""","=""""",3,3.77,G.P. Putnam's Sons,Kindle Edition,320,2019,2019,2021/08/22,2020/05/17,,,read,,,,1,0
92375,Hornet Flight,Ken Follett,"Follett, Ken",,"=""0451210743""","=""9780451210746""",0,4.01,Penguin Books,Mass Market Paperback,518,2003,2002,,2021/08/22,to-read,to-read (#176),to-read,,,,0,0
13542496,"The Anatomist's Wife (Lady Darby Mystery, #1)",Anna Lee Huber,"Huber, Anna Lee",,"=""0425253287""","=""9780425253281""",3,3.96,Berkley,Paperback,357,2012,2012,2021/08/19,2021/02/15,,,read,,,,1,0
55502857,Unwell Women: Misdiagnosis and Myth in a Man-Made World,Elinor Cleghorn,"Cleghorn, Elinor",,"=""0593182952""","=""9780593182956""",0,4.11,Dutton,Hardcover,386,2021,2021,,2021/08/15,to-read,to-read (#175),to-read,,,,0,0
37941687,The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine,Lindsey Fitzharris,"Fitzharris, Lindsey",,"=""0374537968""","=""9780374537968""",0,4.30,"Scientific American / Farrar, Straus and Giroux",Paperback,304,2018,2017,,2021/07/09,to-read,to-read (#174),to-read,,,,0,0
50234048,"The Woman Before Wallis: A Novel of Windsors, Vanderbilts, and Royal Scandal – A Breathtaking Historical Romance Based on a True Story of High Society",Bryn Turnbull,"Turnbull, Bryn",,"=""""","=""""",4,3.88,MIRA,Kindle Edition,441,2020,2020,2021/06/21,2021/06/06,,,read,,,,1,0
52029943,The Death of Mrs. Westaway,Ruth Ware,"Ware, Ruth",,"=""""","=""""",3,3.80,Gallery/Scout Press,Kindle Edition,416,2020,2018,2021/06/16,2021/01/21,,,read,,,,1,0
45145958,"World Without End (Kingsbridge, #2)",Ken Follett,"Follett, Ken",,"=""""","=""""",5,4.33,Penguin Books,Kindle Edition,1030,2007,2007,2021/06/14,2020/10/23,,,read,,,,1,0
41689,The Key to Rebecca,Ken Follett,"Follett, Ken",,"=""""","=""""",0,3.97,Penguin Books,Paperback,352,2003,1980,,2021/06/13,to-read,to-read (#173),to-read,,,,0,0
1032675,Pox Americana: The Great Smallpox Epidemic of 1775-82,Elizabeth A. Fenn,"Fenn, Elizabeth A.",,"=""080907821X""","=""9780809078219""",0,3.81,Hill and Wang,Paperback,384,2002,2001,,2021/06/13,to-read,to-read (#172),to-read,,,,0,0
